State;Unemployment_rate;Total_No_of_unemployed_persons
Abia;16.8;563598
Adamawa;27.8;103344
Akwa Ibom;18.7;1250998
Anambra;15.6;431163
Bauchi;29.4;175103
Bayelsa;17.5;375548
Benue;23.7;254422
Borno;27.8;555405
Cross River;20.1;372968
Delta;19.6;531257
Ebonyi;17.2;272374
Edo;19.4;388147
Ekiti;13.4;252274
Enugu;18;481053
Gombe;37.4;89594
Imo;16.8;860769
Jigawa;43.3;275923
Kaduna;29.6;916200
Kano;32.3;716952
Katsina;46.4;53438
Kebbi;22.9;121052
Kogi;21.3;482822
Kwara;18.3;199749
Lagos;15.3;1294063
Nasarawa;24.4;370863
Niger;29.7;193954
Ogun;10.9;290565
Ondo;19;368658
Osun;13.7;125630
Oyo;13.5;356614
Plateau;22.3;471905
Rivers;18.8;1776595
Sokoto;28.6;289669
Taraba;6.1;157925
Yobe;36.8;219326
Zamfara;27;105029
Fct;17.2;253082
